Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.jbarkhuizen_homeassistant_config_v2_stars,jbarkhuizen/homeassistant-config-V2 Stars,0,stars,N/A,measurement,N/A,2025-09-01T09:38:57.602990+00:00,2025-09-01T09:38:57.602990+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_automation_code_watchers,jbarkhuizen/Automation-Code Watchers,0,watchers,N/A,measurement,N/A,2025-09-01T09:38:57.604943+00:00,2025-09-01T09:38:57.604943+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v3_watchers,jbarkhuizen/homeassistant-config-V3 Watchers,unavailable,watchers,N/A,measurement,N/A,2025-09-01T11:08:56.761376+00:00,2025-09-01T11:08:56.761376+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v2_watchers,jbarkhuizen/homeassistant-config-V2 Watchers,0,watchers,N/A,measurement,N/A,2025-09-01T09:38:57.608964+00:00,2025-09-01T09:38:57.608964+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_automation_code_forks,jbarkhuizen/Automation-Code Forks,0,forks,N/A,measurement,N/A,2025-09-01T09:38:57.610792+00:00,2025-09-01T09:38:57.610792+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v3_forks,jbarkhuizen/homeassistant-config-V3 Forks,unavailable,forks,N/A,measurement,N/A,2025-09-01T11:08:56.761845+00:00,2025-09-01T11:08:56.761845+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v2_forks,jbarkhuizen/homeassistant-config-V2 Forks,0,forks,N/A,measurement,N/A,2025-09-01T09:38:57.614154+00:00,2025-09-01T09:38:57.614154+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_automation_code_issues,jbarkhuizen/Automation-Code Issues,0,issues,N/A,measurement,N/A,2025-09-01T09:38:57.615842+00:00,2025-09-01T09:38:57.615842+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v3_issues,jbarkhuizen/homeassistant-config-V3 Issues,unavailable,issues,N/A,measurement,N/A,2025-09-01T11:08:56.762198+00:00,2025-09-01T11:08:56.762198+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v2_issues,jbarkhuizen/homeassistant-config-V2 Issues,0,issues,N/A,measurement,N/A,2025-09-01T09:38:57.619171+00:00,2025-09-01T09:38:57.619171+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_automation_code_pull_requests,jbarkhuizen/Automation-Code Pull requests,0,pull requests,N/A,measurement,N/A,2025-09-01T09:38:57.621194+00:00,2025-09-01T09:38:57.621194+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v3_pull_requests,jbarkhuizen/homeassistant-config-V3 Pull requests,unavailable,pull requests,N/A,measurement,N/A,2025-09-01T11:08:56.762601+00:00,2025-09-01T11:08:56.762601+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v2_pull_requests,jbarkhuizen/homeassistant-config-V2 Pull requests,0,pull requests,N/A,measurement,N/A,2025-09-01T09:38:57.623847+00:00,2025-09-01T09:38:57.623847+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_automation_code_latest_commit,jbarkhuizen/Automation-Code Latest commit,Initial Automations,N/A,N/A,N/A,N/A,2025-09-01T09:38:57.625170+00:00,2025-09-01T09:38:57.625170+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v3_latest_commit,jbarkhuizen/homeassistant-config-V3 Latest commit,unavailable,N/A,N/A,N/A,N/A,2025-09-01T11:08:56.762954+00:00,2025-09-01T11:08:56.762954+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v2_latest_commit,jbarkhuizen/homeassistant-config-V2 Latest commit,Updated Sunsynk Integrations,N/A,N/A,N/A,N/A,2025-09-01T09:38:57.627636+00:00,2025-09-01T09:38:57.627636+00:00,sensor,Data provided by the GitHub API,False,N/A
